cancer有啲都有得医嘅	有些癌症还是可以治的
一见差佬，个贼即刻拧转头走	一见警察，那个劫匪马上转身逃跑
一讲佢就到	语音刚落他就到了
一讲到呢样佢就㷫嘞	一说到这个他就来劲了
一趟过去就摸到一个西瓜	一摸过去就摸到一个西瓜
一路睇一路笑	边看边笑
一路行一路谂嘢	一边走一边想东西
一路行一路讲	一边走一边说
一路讲嘢一路噍吹波胶	一边说话一边嚼泡泡糖
一蹅错脚就唔得掂喇！	一失足就不得了啦！
一边唞凉一边倾偈	一边乘凉一边聊天
一铺输咗咁多钱真系肉痛！	一次输掉这么多钱真够心疼的！
一阵先再倾啦	一会儿再聊吧
一阵先同你倾吓	一会才跟你谈
一阵出去唔好乱噏嘢吖！	一会儿出去别乱说话啊！
一阵放工翻屋企先睇	一会儿下班回家再看
一阵讲	一会儿再说
一阵间上堂	一会儿上课
一阵间佢唔认账点算？	待一会儿他不认账怎么办？
一阵间就唔见咗	一会儿就不见了
一阵间就唔记得，真冇耳性！	一下子就忘了，真健忘！
一阵间落堂	一会儿下课
一食完佢就松人	一吃完他就溜之大吉
一齐食饭呀，我请	一起去吃饭吧，我请客
一𩗴乜嘢随呀？	一股什么味儿？
三九唔识七我点解要畀钱你？	我们互不相识，为什么我要给你钱？
三九唔识七，有乜方法打破沉默？	谁也不认识谁，有什么方法打破沉默？
三个人咋	才三个人而已
三个人得半打啤酒，梗唔够喉啦	三个人才半打啤酒，当然不够喝啦
三个人豆起个钢琴	三个人把钢琴搭走
三年咁耐，有排你等呀	三年那么长时间，够你等的
三几蚊鸡之嘛	三几元钱罢了
三几蚊，湿湿碎啦	三几块钱，小意思
三日唔见佢蒲头咯	三天不见他露面了
三步擸埋两步走上二楼	三步并作两步跑上二楼
三百个松啲	三百个多一点儿
三百蚊冇人帮亲仲要加价？	三百块没人问津还要加价？
三号队员趁对方龙门接球甩手执死鸡射入一球	三号队员趁对方守门员接球脱手捡便宜射入一球
三号队员趁对方龙门接球甩手执死鸡射入一球	三号队员趁对方守门员接球脱手捡便宜射入一球
三点前翻唔切	三点之前赶不回来
上个礼拜好冻	上个星期很冷
上咗车唔好塞住系门口，往入便行	上了车不要堵在门口，往里走
上嚟二楼揾我	上二楼找我
上堂做啲咩嘢？	上课做些什么？
上堂唔好倾偈！	上课别聊天！
上届冠军今次连十强都入唔到，真系甩须！	上届的冠军这回连前十名都捞不到，真是丢人现眼！
上几级楼梯就猛透大气	爬几级台阶就一个劲儿地喘气
上昼九点三个字到下昼五点	上午九点十五分到下午五点
上次你输咗唔认数，今次唔好再赖猫呀吓！	上一回你输了不认账，这一次不要再耍赖了！
上次决定咗嘅事有冇跟进？	上次决定的事有没有人接着处理？
上次走堂去打机比老师罚，下次唔再走堂了，见过鬼就怕黑	上次跷课去打电动被老师罚了，下次不再跷课了，一朝被蛇咬，十年怕井绳
上落班时坐车梗系逼人喇！	上下班时坐车当然是很拥挤的啦！
上头对你嘅表现十分满意	上级对你的表现非常满意
下一个系边个？	下一个是谁？
下一年我就够钟退休嘞	下一年我就到年龄退休了
下一班巴士几点钟开呀？	下一班车是几点？
下一轮先到你哋入	下一次才该你们进去
下个星期结婚嘅嘢，佢自己都唔嗲唔吊，我地点帮手吖？	下个星期结婚的事，他自己也爱理不理的，我们怎么帮忙呀？
下个月大业主就嚟收楼喇㖞，你揾到地方搬未呀？	下个月房东就来收回房子了，你另外找到房子准备搬了吗？
下午你直头去车站，唔使嚟揾我	下午你直接到车站，不用来找我
下午开会衙？	下午开会吗？
下半场一定要将啲分摱翻	下半场一定要把比分扳回来
下次你冇咁好彩呀！	下次你不会那么幸运的！
下次你唔好咁大头虾啰	下次你别那么冒失了
下次先算	下次再说
下次有乜嘢笋嘢记住通知我！	下回有什么好东西记着告诉我！
下次记住喇！	下次记住了！
下次请你食饭补数	下回请你吃饭算补情
不如今晚一齐食饭呀？	不如今天晚上一起吃饭吧？
不如你去喇！	不如你去吧！
不如你试吓噅吓佢，睇佢肯唔肯帮你咯	不如你试着求他，看他肯不肯帮你
不如出嚟迆吓	不如出来打发时间
不如噉样罢啦	不如这样算了
不如噉讲啦	不如这样说
不如我哋倾吓点甩身先啦！	不如我们先谈谈怎么脱身！
不如我哋嗌嘢啦	我们叫东西吃好吗
不如畀啲贴士我哋啦	不如给我们一点提示
不如听我讲句公道说话	不如听我说句公道话
不宜去睇电影仲好	不如去看电影还好
不溜都系老窦话事㗎啦，我哋边敢开声呀？	从来都是父亲做主的，我们哪敢吱声啊？
不溜都觉得有问题㗎啦	一直都觉得有问题的
不过好似冇乜大碍	不过好像没有大碍
不过话时话，如果系都未必系一件坏事	说是那么说，不过如果是的话也未必是一件坏事
世侄，有啲嘢你仲要学咧！	年轻人，有些东西你还要学呢！
中到头奖就发达喇！	能中头奖就发财了！
中咗奖嘅话，我哋两份㗎	中奖的话，我们一人一半的呀
中环要点样去呀？	去中环怎么走？
之后搭的士兜路翻屋企	以后搭乘出租车绕路回家
之后都冇见过佢再放狗	以后也没看过他遛狗
乖乖仔，快啲嚟洗白白！	小乖乖，快点来洗澡！
乖乖哋坐响处，咪喐身喐势	乖乖地坐在这儿，别动来动去
乖乖哋，唔好咁扭纹	乖乖的，不要闹了
乜事嘈得咁交关？	什么事吵得这么厉害？
乜你企到咁迆㗎	你怎么站得这么歪歪扭扭的
乜你个人咁倔，唔肯听人劝㗎？	怎么你这人这么倔，不肯听人劝？
乜你咁冇记性㗎	你怎么这么健忘的！
乜你咁大个人仲玩埋呢啲小儿科嘅游戏㗎	你怎么这么大了还玩这种幼稚的游戏？
乜你咁失魂㗎，叫你送啲嘢都送错晒	你怎么这么神不守舍的，叫你送点儿东西也全送错了
乜你咁奸赖㗎，我哋唔同你玩啦	你怎么这么赖皮的，我们不跟你玩了
乜你咁漏气㗎，过晒钟至嚟？	你怎么这么拖沓，过了时间才来？
乜你咁耐冇蒲头呀？	我还以为你人间蒸发了呢
乜你咁茂㗎？	怎么你那么荒谬的？
乜你咁讲时唛㗎？	你怎么那么讲究时髦？
乜你咁轮尽㗎，又唔记得带锁匙	怎么你这么粗心大意的，又忘了带钥匙
乜你噉㗎！	你怎么能这样呢？
乜你好似细路仔噉？	你怎么像个小孩子那样？
乜你着得咁out㗎	你怎么穿得那么过时
乜你都识喊嘅咩？	你也会哭的吗？
乜佢咁冇sense㗎，仲话系博士	怎么他的识别力这么差的，还说是博士
乜佢咁烂瞓㗎，个闹钟响咗咁耐都唔醒？	他怎么睡得那么沉，闹钟响了这么长时间都不醒？
乜佢讲得咁论尽㗎	看他笨嘴拙舌的
乜又系食粥水？	怎么又是喝稀粥呀？
乜呢度立立乱㗎？	干嘛这里糟糟的？
乜呢次搅得咁大镬呀	这次怎么弄得这么严重啊？
乜咁㗎，真系该煨嘞	怎么这样的，倒了血霉了
乜咁啱呀？	怎么这么巧哇？
乜咁差皮㗎？	怎么那么差劲的？
乜咁得闲呀？	怎么这么清闲？
乜咁早晨呀？	这么早啊？
乜咁木㗎？	为什么那么呆头呆脑的？
乜咁桥呀？	怎么这么巧？
乜咁污糟㗎？	怎么这么脏的？
乜咁流口水㗎，考试得五十分！	怎么这样差劲，考试只得五十分！
乜咁乌龙㗎，封信冇贴邮票就攞去寄	怎么这么糊涂，这封信没贴邮票就拿去寄
乜咁畀面嚟坐吓呀	怎这么赏脸来坐坐
乜咁错荡呀？	什么风把你吹来了？
乜咁顺摊㗎？	怎么一口答应？
乜啲蕃茄咁奀㗎？	怎么这些西红柿个儿这么小？
乜嘢事你都揽埋嚟做	什么事情你都包揽起来做
乜嘢事咁激气呀？	甚么事那么生气？
乜嘢咁有宝！	什么东西那么了不起！
乜嘢问题点样解决我自己会负责	应该怎样解决问题我自己会负责
乜嘢料呀？	什么事啊？
乜嘢话呀，小意思啫	说什么话，小意思罢了
乜嘢话，你亚妈病咗你都唔去探吓佢？	怎么？你妈病了你都不去探望一下？
乜嘢话，你讲嘅系乜嘢呀？	什么，你讲的是什么呀？
乜嘢话，佢居然咁大胆！	什么，他居然这么大胆！
乜嘢话，唔该大声啲	什么，请你大声点说
乜嘢话，唔该大声啲	什么，请你大点儿声
乜嘢话？佢畀老板炒咗？	什么？他被老板辞了？
乜嘢话？佢畀老板炒咗？	说什么？他被老板辞了？
乜嘢说话都讲晒咯，佢就系唔听	什么话都说完了，他就是不听
乜嘢都唔肯做，冇乜符呀！	什么都不肯做，真没办法！
乜嘢都啱	什么都很投契
乜嘢都搅妥晒	一切都办好了
乜嘢风吹到你嚟嘅？	哪阵风把你吹来了？
乜你有咩？	难道你有吗？
乜窝轮咁好赚㗎？	权证这么容易赚钱吗？
乜说话呀，啲事冇乜咁交关	哪里哪里，事情没有那么严重
乜近排咁多呢味嘢出嚟㗎	怎么最近这么多这种事出来了
乜都唔使谂，乜都唔使做	什么都不用想，什么都不用做
乜都唔好讲住	先什么都不要说
乜都唔会，真系废嘅	什么都不会，真窝囊
乜都唔会，真系废嘅！	什么都不会，真窝囊！
乜都噅人，太低威喇	什么都求人，太没骨气了
乜都就晒你	什么都顺从你
乜都帮唔到手，你真系废	甚么也帮不上忙，你真是窝囊废
乜鬼嘢都唔想要	什么好东西也不想要
九楼咁高佢都够胆死跳落嚟	九层楼那么高，他都敢跳下来
九点钟至开档呀	九点才开始营业
九点钟开会夜过头喇	九点钟开会太晚了
九点钟开铺	九点钟开门
干湿褛点样？	风雨衣怎么样？
乱咁扠噉又系一幅画嘞	乱涂一气又是一幅画了
乱咁泊车你唔怕收到牛肉干呀？	乱停车你不怕收到罚款通知书啊？
事情咁急佢仲咁定当	事情那么紧急他还那么稳
事情多罗罗，我点行得开？	事情多多的，我怎么离得开？
事情已经好清楚，冇乜好拗嘅	事情已经很清楚，没什么可争辩的
事关我唔得闲，咪冇嚟到啰	因为我没空，不就来不了喽
二叔而家好论尽	二叔现在很龙钟
五百蚊都惊惊哋唔够找数	拿五百块钱出来还恐怕不够结账
五点钟就收档	五点钟就收摊儿
五点钟畀我迟得滞喇	五点钟才拿给我太晚了
亚仔，觉觉猪喇！	儿子，睡觉了！
亚婆八十几岁仲行得走得	外婆80多岁还能走能跑
亚婆行路慢过后生仔	姥姥走路比年轻人慢
亚妈今晚煲咗糖水	妈妈今天晚上做了甜汤
亚妈好担心你吖	我妈妈很担心你
亚妈闹你，你就唔好驳嘴啦！	妈妈骂你，你就别顶嘴了！
亚爸唔喺度，你要生性啲，听亚妈话	爸爸不在，你要懂事点儿，听妈妈的话
亚爸唔肯买，佢就去扭妈咪买	爸爸不肯买，他就千方百计央求妈妈买
亚爸日日朝早都去行山	爸爸每天早上都去爬山
亚爸病咗，你仲激佢，真系唔生性！	爸爸病了，你还惹他生气，真不懂事！
亚爸真系OK？	我爸真的没事？
亚爸！亚妈！我哋翻嚟啦！	爸！妈！我们回来了！
亚爷朝朝都喺度饮茶叹报纸	爷爷每天早上都在这里喝茶舒服自在地看报纸
亚爷通常都锡啲孙嘅	爷爷一般都疼爱孙儿的
亚狗亚猫都畀入嚟，噉点得啊！	张三李四也让进来，那怎么行！
亚生有乜事？	先生，有什么事？
亚甲一次食晒成包糖	阿甲一口气把糖吃光了
亚甲做晒功课未？	阿甲把功课做完了没有？
亚甲成日都唔交功课	阿甲经常不交功课
亚甲病咗几日，成个人都落晒形	阿甲病了数日，整个人都没精打彩的
亚甲都有去生日会	阿甲也去了生日会
亚发做嘢揦揦西西，留低鬼咁多苏州屎过我	阿发做事马马虎虎，留下很多麻烦事给我
亚福喺唔喺度呀？	阿福在不在这里？
亚郭叫我帮佢太太揾师傅教车	阿郭叫我替他太太找个师傅教他开车子
亚陈日日准时三点半就去街口茶餐厅蛇王	老陈天天准时3点半就去路口茶餐厅偷懒
亚丽佢有心啦	谢谢阿丽的关心
亚丽佢有心啦，不过我哋都有嘢送畀佢吖，系我哋大家嘅心意嚟㗎	谢谢阿丽的关心，不过我们也有东西送给她，是我们大家的心意
人人都做到金睛火眼	大家都忙得不亦乐乎
人人都好嬲嗰啲贼仔	人人都很憎恨那些小偷
人人都有一大抽锁匙	每个人都有一大串钥匙
人人都望住我	大家都看着我
人人都睇我唔起	人人都看不起我
人人都知，你仲懵闭闭	大家都知道了，你还糊里糊涂的
人人都话你好	大家都说你好
人人都话佢好人事	人人都说他心肠好
人人都话野味好补	人人都说吃山珍是挺滋补的
人哋两个人拍拖你仲跟埋去？你咁唔通气㗎？	人家俩人谈恋爱你还跟着去？你怎么这么不识趣？
人哋两个去街你又跟埋去，咁唔通气㗎	人家俩人上街你也跟着去，这么不知趣的
人哋两公婆嘅事，你哋班师奶理咁多做乜？	那帮家庭妇女走在一起最后说长道短？
人哋唔话你就算畀面㗎喇	人家不说你就算赏脸了
人哋问乜都唔知，真系甩须	人家问什么都不知道，真丢脸
人哋问你呢样，你又讲嗰样，真系唔挐耕	人家问你这样，你又说那样，真是牛头不对马嘴
人哋问佢都唔出声	人家问他也不吭声
人哋嘅嘢要更加儆锡先得	人家的东西要更加爱惜才行
人哋好地地坐喺度，你嫽佢做乜！	人家好好的坐在那儿，你去惹他干什么！
人哋写字你唔好喺度喐喐贡	人家写字你不要在这儿动个不停
人哋写字你唔好喺度喐喐贡	人家写字你不要在这儿动个不停
人哋就系勤力	人家就是用功
人哋几次请你都唔去，太倔情喇啩	人家几次请你都不去，太无情了吧？
人哋打交你去劝，顾住打埋你啊！	人家打架你去劝，小心连你一起打！
人哋会安排，唔使你咁巴闭	人家会安排，用不着你去多管闲事
人哋有底噉，乜嘢事都做得出㗎	人家有前科，什么事都做得出来
人哋有真本事，唔使你嚟托	人家有真本事，不用你来吹捧
人哋等住你嘅报告个㖞，唔好再揼时间嘞	人家等着你的报告，别再拖延时间了
人哋话你志在帮助你	人家劝告你目的在于帮助你
人哋讲完你至讲都未迟，咁谰叻做乜	人家说完你再说也不晚，干嘛这么好表现自己
人哋走晒喇	别人走光了
人哋都唔睬佢，佢仲喺度赖死！	人家都不理他，他还在这里赖着不走！
人哋都未休息你就去坐，真系电灯胆唔通气咯	人家还没休息你就去坐，真是不懂人情
人哋都未讲完，你就乱插嘴，咁叻唔切做乜！	人家还没有讲完你就乱插嘴，这么好表现干嘛！
人哋开会，你哋成日嘈，太唔通气喇	人家开会，你们整天吵，太不知趣了
人哋饮咗头啖汤，你再去就冇乜油水	人家已经先尝了甜头，你再去就没啥好处
人唔知走去边	那个人不知道跑到哪儿去
人噉做佢噉做	人家这样做他也这样做
人嚟吖！	来人呀！
人嚟齐咁滞㗎喇	人差不多来齐了
人就多罗罗，嘢就冇人做	人就多得很，事情就没人干
人心系肉做吖嘛	人心是肉做的呀
人生在世，有边个唔会做错事呀？	人生在世，谁没做过错事？
人老咗做嘢系论尽啲	人老了，干活是不太利索了
人老咗冇记性啰，你讲过乜嘢我都唔记得	人老记性差了，你说过什么我都忘了
人老啦，做些少嘢都手揗脚震噉	人老了，干一点活儿就手脚发抖了
人都唔齐，打乜鬼麻将呀！	人都不齐，打甚么麻将呀！
今个月啲生意耷晒	这个月的生意大滑坡
今个月责咗好多货	这个月积压了许多货
今匀佢唔认低威都唔得喇	这一回他不甘拜下风都不行了
今匀唔得喇！	这回不行了！
今匀头次见面，就咁空手掉空臂去咩？	这是头回见面儿，就这么空着手去吗？
今回佢衰嘞	这次他倒霉了
今年冇落雨好耐噃	今年已经很久没下雨了
今年冻过旧年	今年比去年冷
今年嘅禾生得好猛	今年的稻子长得很旺盛
今年嘅经费要cut一半	今年的经费要削减一半儿
今年嘅预算咳咗好多	今年的财政预算削减了很多
今年好多朋友结婚，又要做人情啦	今年很多朋友结婚，又要送贺礼了
今年收成比上年仲好咗	今年收成比去年更加好了
今年热天你哋仲有房租呀？	今年夏天你们还有房间出租吗？
今年经费唔够，上头批拨款冇咁顺摊㗎喇	今年经费不足，上面不会那么轻易把拨款批下来
今年过年，人人都着得好光鲜	今年过年，大家都穿得漂漂亮亮的了
今日lunch食乜好？	今天午饭吃什么好？
今日一定要讲清楚，唔系乜都假	今天一定要讲清楚，要不然说啥也不行
今日一条气睇咗一本半嘅书，可能好耐冇睇书啦，有少少发书寒	今天一口气看了一个半本书，可能很久没看书了，有点儿渴望看书
今日乜咁错荡呀？	今天什么风把你吹到这里来啦？
今日系咁先喇	今天就到此为止了
今日系咩嘢日呀？	今天是什么日子？
今日系噉先喇	今天就到此为止了
今日系礼拜五，你唔觉得开心咩？	今天是星期五，你不觉得高兴吗？
今日做咗好多事呀	今天做了很多事情呢
今日入场零舍多人	今天入场的人格外多
今日冇人嚟乜滞	今天几乎没有什么人来
今日冇人嚟到	今天没有人来过
今日到而家都冇食过嘢	今天到现在都没吃过东西
今日卅号，呢啲系你今个月嘅人工	今天是30号，这是你这个月的薪水
今日去食斋好唔好？	今天去吃素菜好不好？
今日同朋友去出街，畀人打咗荷包，真系黑过墨斗	今天跟朋友去逛街，钱包被人偷走，真是倒霉透了
今日呢间铺头好旺	今天这铺子的生意真好
今日呢间铺头好旺	今天这铺子的买卖真好
今日呢餐我找数	今天这顿饭，我来付款
今日周围都湿湆湆	今天到处都湿漉漉的
今日咁焗，一定会落雨	今天这样闷，一定会下雨
今日唔系我生日啰？	今天不就是我生日吗？
今日唔得闲，第日先啦	今天没空，以后再说吧
今日嘅例汤系乜嘢？	今天你们卖的汤是什么汤？
今日嘅汇率系几多？	今天的汇率是多少？
今日嘅报纸我擸咗一眼，未详细睇	今天的报纸我粗粗地看了一下，没有详细看
今日嚟嘅人真系少得凄凉	今天来的人真是少得要命
今日墟日，街上含含声	今天是赶集日，街上闹哄哄的
今日多得你帮我手，真系唔该晒	今天多亏你帮助我，真是非常感谢
今日好冻	今天很冷
今日好天	今天天气晴
今日好好天	今天天很好
今日好闷呀！	今天很无聊啊
今日好焗，透气都唔顺	今天天气很闷热，气都喘不过来
今日实落雨嘅	今天肯定下雨
今日屙咗七次	今天拉了七次
今日得闲，我哋去饮早茶啦	今天有空，我们去喝早茶吧
今日我一条气走咗两堂路	今天我一口气跑了十公里路
今日我做东，唔使同我悭㗎！	今天我请客，不用给我省钱啊！
今日我好唔开心	今天我很不高兴
今日我屙咗七八次	今天我拉了七八次肚子
今日我当日更	今天我上白班
今日我睇数	今天我请客
今日我睇数，大家去食韩国餐	今天我请客，大家去吃韩国菜
今日打风，返唔到学	今天刮台风，上不了学
今日搭巴士，佢畀人跴咗一脚	今天坐公共汽车，他让别人踩了一脚
今日晨早起身去屙殊殊，之后就训唔翻喇	今天早上起来尿尿，以后就睡不着觉了
今日最高气温系几多度？	今天最高气温是多少度？
今日有个鬼佬用好标准嘅广东话同我打招呼	今天有个老外用了很标准的粤语跟我打招呼
今日有冇派讲义呀？	今天发讲义没有？
今日有冇航班飞去南京呀？	今天有飞到南京的航班吗？
今日梗落雨	今天一定下雨
今日气温介乎十五度至十六度之间	今天气温在15度和16度之间
今日港纸同美金嘅兑换率系几多？	今天港币和美元的兑换率是多少？
今日凑我堂妹凑咗成晏昼	今天照顾我堂妹照顾了整个下午
今日焫咗两个土匪	今天枪毙了两个土匪
今日热到冇谱	今天热得够戗
今日热得真交关	今天热得很厉害
今日热得真凄凉	今天热得很厉害
今日玩到够晒本啦	今天可玩了个够
今日玩咗一日，真系爽	今天玩了一天，真过瘾
今日畀佢䁓到正	今天被他逮个正着
今日略略冻过琴日	今天比昨天稍冷一点儿
今日真系冻	今天真冷
今日真系忙到七个一皮！	今天真是忙得团团转！
今日真系惨，连续企咗五个钟头	今天真够可怜，连着站了五个小时
今日真系齐人	今天人真齐
今日翻学图书馆闩咗	今天上学图书馆关门了
今日翻工由朝翻到晚，好癐吖	今天上班从早上到晚，很累啊
今日翻风，着翻多件衫啦	今天刮风，要多穿一件衣服
今日买咗好多嘢	今天买了很多东西
今日趁墟好逼人	今天赶集很拥挤
今日过节，食餐劲	今天过节，吃一顿好的
今日迟咗㖞	今天迟到了啊
今日邮局嘅人真系好多呀！	邮局今天人真多！
今日都唔知咩事好鬼热，好讨厌啲又热又湿湆湆嘅天气	今天不知道什么事真热，很讨厌那种又热又湿漉漉的天气
